"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1961",0.0323962420359678,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1962",5.46671464555597,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1963",6.14482824505605,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1964",6.19989585409295,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1965",5.01558763885105,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1966",2.93030052368995,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1967",7.19237920297481,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1968",5.33679541500579,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1969",6.21509557488758,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1970",6.95600808767565,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1971",3.88496809641591,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1972",2.27843898666929,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1973",4.36024234754156,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1974",1.61370338726119,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1975",2.47772488709873,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1976",3.83761730831764,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1977",1.48221109992411,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1978",2.01906033140288,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1979",4.58618955335697,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.71639979082625,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1981",4.18153602367747,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1982",-0.364696269758888,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1983",-0.184829182824764,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1984",6.57674581744806,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1985",5.05564425627051,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1986",1.82048836106656,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1987",5.29729460042656,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.4422069546448,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1989",4.31098470003056,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1990",1.39524488365919,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1991",-1.33505860317483,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1992",2.99691818704377,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1993",4.099186189253,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1994",4.73992046070164,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1995",3.13663036710697,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1996",3.96948857072553,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1997",4.17122949734654,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1998",4.93885633476867,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","1999",4.09242565042974,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2000",3.39755600168503,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2001",2.74826337097805,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2002",4.02075829493967,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2003",3.13717140204982,
"AUS","REALGDPFORECAST","TOT","AGRWTH","A","2004",3.9512009173411,
